cid,city,prov,region,year,resilience_index,resilience_std
110000,北京市,北京市,东部,2016,-0.4846343005179701,-0.30046980939033474
110000,北京市,北京市,东部,2017,-0.3983673753527655,-0.24704661909235018
110000,北京市,北京市,东部,2018,-0.361445677803311,-0.22418183203135583
110000,北京市,北京市,东部,2019,-1.2539924474031743,-0.77691621813438
110000,北京市,北京市,东部,2020,0.9557253223764999,0.591512906860012
110000,北京市,北京市,东部,2021,-0.7827638880916752,-0.4850948398977836
110000,北京市,北京市,东部,2022,0.5537356973735976,0.3425696624680397
110000,北京市,北京市,东部,2023,0.11793114017968565,0.07268558178342995
120000,天津市,天津市,东部,2016,0.1970817248443935,0.12170178050202027
120000,天津市,天津市,东部,2017,0.6762779204382077,0.4184573388837894
120000,天津市,天津市,东部,2018,0.7787759519323736,0.48193209275029525
120000,天津市,天津市,东部,2019,4.650619644122499,2.8796788766516057
120000,天津市,天津市,东部,2020,0.34487952556267903,0.21322967509517682
120000,天津市,天津市,东部,2021,-1.0150972820350674,-0.6289737493807055
120000,天津市,天津市,东部,2022,0.410043972006963,0.2535845691219315
120000,天津市,天津市,东部,2023,0.20694421593018192,0.12780940213196992
130100,石家庄市,河北省,东部,2016,-0.1566918660599978,-0.09738234511266858
130100,石家庄市,河北省,东部,2017,0.02722357698718278,0.016512403005822247
130100,石家庄市,河北省,东部,2018,0.8622338184622192,0.5336156954398472
130100,石家庄市,河北省,东部,2019,1.247642888255988,0.7722909703349646
130100,石家庄市,河北省,东部,2020,0.52044483164356,0.32195336889232057
130100,石家庄市,河北省,东部,2021,-0.6216638925239897,-0.38532919154837053
130100,石家庄市,河北省,东部,2022,-0.4495118064741287,-0.2787192290902873
130100,石家庄市,河北省,东部,2023,-0.12779074311265115,-0.07948452172224697
130200,唐山市,河北省,东部,2016,0.40347983696394085,0.24951954611486962
130200,唐山市,河北省,东部,2017,1.060940205675027,0.656670146692928
130200,唐山市,河北省,东部,2018,-0.011485744758282058,-0.007459420006921345
130200,唐山市,河北省,东部,2019,1.2461616966728242,0.771373701292819
130200,唐山市,河北省,东部,2020,0.236475166722788,0.14609726391506436
130200,唐山市,河北省,东部,2021,-0.8256997155886937,-0.5116840440288223
130200,唐山市,河北省,东部,2022,0.1693568679033754,0.10453239251806294
130200,唐山市,河北省,东部,2023,0.7498643405178623,0.46402777408516444
130300,秦皇岛市,河北省,东部,2016,-3.424812319880467,-2.1212567394629174
130300,秦皇岛市,河北省,东部,2017,3.756046089263074,2.32568934746324
130300,秦皇岛市,河北省,东部,2018,-0.1371552265147792,-0.08528373825716053
130300,秦皇岛市,河北省,东部,2019,1.3037616256944293,0.807044057728715
130300,秦皇岛市,河北省,东部,2020,0.4222176005775831,0.2611234268533247
130300,秦皇岛市,河北省,东部,2021,-0.17694046648892567,-0.10992185352694069
130300,秦皇岛市,河北省,东部,2022,0.7306943243216661,0.4521562089250106
130300,秦皇岛市,河北省,东部,2023,0.5100434965285636,0.31551205312573416
130400,邯郸市,河北省,东部,2016,-0.07171484343353342,-0.04475796280118641
130400,邯郸市,河北省,东部,2017,1.0733413124610498,0.6643498766295938
130400,邯郸市,河北省,东部,2018,0.7035032704368267,0.4353173933150804
130400,邯郸市,河北省,东部,2019,0.9838072693151951,0.608903432746623
130400,邯郸市,河北省,东部,2020,0.517381807976266,0.32005650638155286
130400,邯郸市,河北省,东部,2021,-0.6098866069690092,-0.3780357802416325
130400,邯郸市,河北省,东部,2022,-0.04381169685543678,-0.02747816400576728
130400,邯郸市,河北省,东部,2023,0.9149107481315584,0.5662373477434317
130500,邢台市,河北省,东部,2016,-0.17937676096334537,-0.11143059657161976
130500,邢台市,河北省,东部,2017,0.46931989135286767,0.2902928291328207
130500,邢台市,河北省,东部,2018,0.26072532053664554,0.1611148454443948
130500,邢台市,河北省,东部,2019,1.008592199360872,0.6242521893160352
130500,邢台市,河北省,东部,2020,0.07277411376890433,0.04472083850998671
130500,邢台市,河北省,东部,2021,-0.5816121842694209,-0.3605260583922322
130500,邢台市,河北省,东部,2022,0.19014737554325378,0.11740749202937507
130500,邢台市,河北省,东部,2023,0.705235225485927,0.4363899546008623
130600,保定市,河北省,东部,2016,-1.3437890871061478,-0.8325252822314791
130600,保定市,河北省,东部,2017,1.3236712211138182,0.8193736278717216
130600,保定市,河北省,东部,2018,-0.23532934035633563,-0.14608078597909474
130600,保定市,河北省,东部,2019,-0.07316857169616164,-0.04565822441903379
130600,保定市,河北省,东部,2020,-0.3249313887515895,-0.2015693440022526
130600,保定市,河北省,东部,2021,-1.1225605558599137,-0.6955233675176088
130600,保定市,河北省,东部,2022,-0.031389896724171015,-0.019785619140104137
130600,保定市,河北省,东部,2023,-0.14458113306431514,-0.08988243721358191
130700,张家口市,河北省,东部,2016,-0.10409698418876306,-0.06481150318772294
130700,张家口市,河北省,东部,2017,1.7720016742743012,1.0970147176602654
130700,张家口市,河北省,东部,2018,-0.0069689099088229844,-0.0046622445280792004
130700,张家口市,河北省,东部,2019,0.9830245989775103,0.6084187423938527
130700,张家口市,河北省,东部,2020,0.3282427613259462,0.20292689659623744
130700,张家口市,河北省,东部,2021,0.07238117691557577,0.04447750144598145
130700,张家口市,河北省,东部,2022,1.0261185265349047,0.6351058543800213
130700,张家口市,河北省,东部,2023,0.5548153024696726,0.3432382379201476
130800,承德市,河北省,东部,2016,0.4041274949167793,0.24992062629706263
130800,承德市,河北省,东部,2017,0.8936855849874332,0.5530930757343985
130800,承德市,河北省,东部,2018,0.791475686666623,0.4897967563411495
130800,承德市,河北省,东部,2019,1.162009277178774,0.7192599773823279
130800,承德市,河北省,东部,2020,-0.09838904523447511,-0.06127670339764999
130800,承德市,河北省,东部,2021,-0.2488989832685944,-0.15448416437920603
130800,承德市,河北省,东部,2022,0.44480398147735256,0.27511067077839085
130800,承德市,河北省,东部,2023,0.4291903672242422,0.2654415063345922
130900,沧州市,河北省,东部,2016,-0.02435150743986865,-0.015426901017179268
130900,沧州市,河北省,东部,2017,0.6787191193640725,0.4199691191462939
130900,沧州市,河北省,东部,2018,0.3141913664751028,0.1942251799228871
130900,沧州市,河北省,东部,2019,0.8023318502760498,0.4965197372901261
130900,沧州市,河北省,东部,2020,0.043285464313892075,0.02645917300552173
130900,沧州市,河北省,东部,2021,-1.1437243484836936,-0.7086296341267648
130900,沧州市,河北省,东部,2022,-0.16331426866810098,-0.10148345192834612
130900,沧州市,河北省,东部,2023,0.33549941634576486,0.2074207818403004
131000,廊坊市,河北省,东部,2016,-0.6401356111752263,-0.396768316551911
131000,廊坊市,河北省,东部,2017,0.1834512396474467,0.11326072382663918
131000,廊坊市,河北省,东部,2018,-0.1973512933253615,-0.1225618251514531
131000,廊坊市,河北省,东部,2019,0.5602722109993141,0.34661758014498584
131000,廊坊市,河北省,东部,2020,1.1000872788953617,0.6809130594692213
131000,廊坊市,河北省,东部,2021,-0.5791463103988961,-0.35899899748466424
131000,廊坊市,河北省,东部,2022,1.0992658750174957,0.6804043822954992
131000,廊坊市,河北省,东部,2023,0.6414646356533109,0.3968982450085897
131100,衡水市,河北省,东部,2016,-1.4016803924568477,-0.8683760815549332
131100,衡水市,河北省,东部,2017,0.13885307711118877,0.08564207253528706
131100,衡水市,河北省,东部,2018,0.3721008425292157,0.23008723195929479
131100,衡水市,河北省,东部,2019,1.3096400574242821,0.810684439907125
131100,衡水市,河北省,东部,2020,-0.23345261124948036,-0.14491856933556313
131100,衡水市,河北省,东部,2021,-0.5577533085951442,-0.3457507867223321
131100,衡水市,河北省,东部,2022,-0.04346460430356017,-0.027263217299200337
131100,衡水市,河北省,东部,2023,0.1757034980795767,0.10846271959306678
140100,太原市,山西省,中部,2016,-0.01720526392098079,-0.011001391162803787
140100,太原市,山西省,中部,2017,-0.47870030291318233,-0.2967950164999974
140100,太原市,山西省,中部,2018,-0.9726183230770495,-0.6026674737863389
140100,太原市,山西省,中部,2019,0.6192045656226827,0.38311307815564644
140100,太原市,山西省,中部,2020,1.9592953316315889,1.2130015188525225
140100,太原市,山西省,中部,2021,-1.8686970818033513,-1.1575891422907099
140100,太原市,山西省,中部,2022,0.032811163656151485,0.019972671299274748
140100,太原市,山西省,中部,2023,1.188991545147356,0.7359694965125888
140200,大同市,山西省,中部,2016,2.084972054725431,1.2908303215021097
140200,大同市,山西省,中部,2017,-0.031733899943918564,-0.01999865269191439
140200,大同市,山西省,中部,2018,-0.9092687345780206,-0.5634364809672312
140200,大同市,山西省,中部,2019,0.6397717980992266,0.3958499083184593
140200,大同市,山西省,中部,2020,-0.20806133539433075,-0.1291943162765772
140200,大同市,山西省,中部,2021,-2.2090399248100847,-1.3683559041022173
140200,大同市,山西省,中部,2022,-0.2491801338087295,-0.1546582746628316
140200,大同市,山西省,中部,2023,0.8372564243136844,0.5181477501272077
140300,阳泉市,山西省,中部,2016,0.8115560181427077,0.502232059531093
140300,阳泉市,山西省,中部,2017,0.5222678649872472,0.32308233294259664
140300,阳泉市,山西省,中部,2018,-0.0744208734321343,-0.04643374706370026
140300,阳泉市,山西省,中部,2019,1.7974210605994987,1.1127563789088657
140300,阳泉市,山西省,中部,2020,0.3713058157144195,0.22959488951475396
140300,阳泉市,山西省,中部,2021,-1.7621514582840507,-1.0916078046020348
140300,阳泉市,山西省,中部,2022,-0.7088210613709343,-0.4393036899813106
140300,阳泉市,山西省,中部,2023,1.357251872876497,0.8401693794997342
140400,长治市,山西省,中部,2016,0.23353796402952648,0.14427831953834797
140400,长治市,山西省,中部,2017,-1.8575762703510619,-1.150702270811914
140400,长治市,山西省,中部,2018,-1.189022408525208,-0.7366817163945982
140400,长治市,山西省,中部,2019,0.46836057884508825,0.28969874820829267
140400,长治市,山西省,中部,2020,-0.5584928011816106,-0.3462087380529851
140400,长治市,山西省,中部,2021,-3.953312547145946,-2.4485451893486903
140400,长治市,山西省,中部,2022,-2.4961731062919434,-1.5461711046068742
140400,长治市,山西省,中部,2023,0.7363593310158092,0.4556644217201345
140500,晋城市,山西省,中部,2016,1.2594515791487981,0.7796038302697375
140500,晋城市,山西省,中部,2017,-0.5831284423129777,-0.3614650433142827
140500,晋城市,山西省,中部,2018,-1.7494583256366167,-1.0837472295368773
140500,晋城市,山西省,中部,2019,0.4915585541188122,0.30406473894231695
140500,晋城市,山西省,中部,2020,-0.4519190179706981,-0.28020996169287454
140500,晋城市,山西省,中部,2021,-3.873590022049652,-2.3991748006267213
140500,晋城市,山西省,中部,2022,-2.4605388520365565,-1.5241036025767896
140500,晋城市,山西省,中部,2023,0.5877687332630768,0.3636455655358719
140600,朔州市,山西省,中部,2016,2.72694681378129,1.6883910280401613
140600,朔州市,山西省,中部,2017,-0.04877997460797568,-0.0305549080454886
140600,朔州市,山西省,中部,2018,-0.4059287323878657,-0.25172919952539075
140600,朔州市,山西省,中部,2019,1.1859126465526137,0.7340628030119207
140600,朔州市,山西省,中部,2020,0.0589375243469773,0.036152146066769336
140600,朔州市,山西省,中部,2021,-2.9798611645867132,-1.8457083737706843
140600,朔州市,山西省,中部,2022,-0.28189536079098443,-0.17491808795011118
140600,朔州市,山西省,中部,2023,1.1959307498098315,0.7402667918026453
140700,晋中市,山西省,中部,2016,0.08257131372746045,0.05078802679531186
140700,晋中市,山西省,中部,2017,-1.5176671273545423,-0.9402040897818998
140700,晋中市,山西省,中部,2018,-1.5138728601629026,-0.937854384401394
140700,晋中市,山西省,中部,2019,0.21146770383677577,0.1306106977012951
140700,晋中市,山西省,中部,2020,0.5451464369617351,0.33725052430908564
140700,晋中市,山西省,中部,2021,-2.7803890335259878,-1.7221797143639168
140700,晋中市,山西省,中部,2022,-1.442934915035937,-0.8939240909012097
140700,晋中市,山西省,中部,2023,0.6562990189731867,0.40608484904638636
140800,运城市,山西省,中部,2016,0.5333139373223658,0.32992292014649016
140800,运城市,山西省,中部,2017,-0.10767058297164964,-0.06702455352493143
140800,运城市,山西省,中部,2018,-1.0056062429073278,-0.6230961596964105
140800,运城市,山西省,中部,2019,0.2603597722794495,0.16088846952952499
140800,运城市,山西省,中部,2020,-0.6063399265691363,-0.3758393998610209
140800,运城市,山西省,中部,2021,-2.3322204743195343,-1.4446388819045597
140800,运城市,山西省,中部,2022,-0.6958903548017383,-0.4312959906642126
140800,运城市,山西省,中部,2023,0.7626225029122198,0.47192862062792795
140900,忻州市,山西省,中部,2016,0.7928695155825984,0.49065992362430455
140900,忻州市,山西省,中部,2017,-2.1903946611419576,-1.3568093065250937
140900,忻州市,山西省,中部,2018,-1.2405163456618127,-0.7685707677033481
140900,忻州市,山西省,中部,2019,0.059061125614305064,0.03622868958577013
140900,忻州市,山西省,中部,2020,-0.6259411358725933,-0.387977993333361
140900,忻州市,山西省,中部,2021,-4.165289928289245,-2.579818072322089
140900,忻州市,山西省,中部,2022,-1.494301622260329,-0.9257343515517934
140900,忻州市,山西省,中部,2023,1.0954692276808913,0.6780532029440927
